,,DETALĖ,I,P,,,BRIAUNOS,,Q,,,T,,,,,,,,,,,,
64,,NUGARA,1725,800,1727,802,4p,,,↑,R,↺,,,,,+,,,,,,,
65,,LENTYNOS,800,260,802,262,3p si,,,↑,R,,,,,,+,,,,,,,
66,,PLINTUSAS,800,73,800,73,-,,,,,,,,,,,,,,,,,
67,,VIRŠUS,850,282,852,284,pi 3s,,1,↓,Ž,,,,,,+,,,,,,,
68,,ŠONELIS,1191,280,1193,282,pt pi si stj,,2,↑,R,,,,,,+,,,,,,,
69,,NUGARA,1193,800,1195,802,4p,,,↑,R,,,,,,+,,,,,,,
70,,LENTYNOS,800,260,802,262,3p si,,,↑,R,,,,,,+,,,,,,,
71,,PLINTUSAS,800,73,800,73,-,,,,,,,,,,,,,,,,,
72,,VIRŠUS,850,232,852,284,pi 3s,,1,,,,,,,,+,,,,,,,
73,,ŠONELIS,885,280,887,282,pt pi si stj,,2,,,,,,,,+,,,,,,,
74,,NUGARA,887,800,889,802,4p,,,,,,,,,,+,,,,,,,
75,,LENTYNOS,800,260,802,262,3p si,,,,,,,,,,+,,,,,,,
76,,PLINTUSAS,800,73,-,-,-,,,,,,,,,,,,,,,,,
77,,DURELĖS,380,396,382,398,2si 2st,,,↑,R,↺,,,,,,,,,,,,
78,,ŠONELIS,1524,280,1526,282,pt pi si stj,,,↑,R,,,,,,+,,,,,,,
79,,ŠONELIS,1620,280,1622,282,pt pi si stj,,2,↑,R,,,,,,+,,,,,,,
80,,NUGARA,1526,800,1528,802,4p,,,,,,,,,,+,,,,,,,
81,,NUGARA,1623,800,1625,802,4p,,,,,,,,,,+,,,,,,,
82,RECEPTION,TOP,1741,738,,,3p si,,1,↓,Ž,,,,,,+,,,,,,,
83,,TOP,1034,571,,,1pi 2st si,,1,↓,Ž,,,,,,+,,,,,,,
84,,BOW-TOP,1797,440,,,2st si,,,↓,Ž,,,,,,,,,,,,,
85,,MODESTY/NUGARA,1038,1741,,,3p si+x,,,↓,Ž,,,,,,+,,,,,,,
86,,MODESTY,1038,1034,,,pt 2si st,,,↓,Ž,,,,,,+,,,,,,,
87,,END PANEL / KOJA,1038,760,,,pt 2si sts,,2,↓,Ž,,,,,,+,,,,,,,
88,,END PANEL / KOJA,1038,600,,,pt 2si sts,,1,↓,Ž,,,,,,+,,,,,,,
89,RECEPTION,RETURN TOP,1038,574,,,pt 2si si,,1,↓,Ž,,,,,,+,,,,,,,
90,,RETURN MODESTY,1038,1034,,,Koja,,,↓,Ž,,,,,,,,,,,,,
91,,RETURN LEG,1038,600,,,pt 2si st,,,↓,Ž,,,,,,+,,,,,,,
92,,RETURN TOP,1038,571,,,pi 2st si,,1,↓,Ž,,,,,,+,,,,,,,
93,,RETURN MODESTY by,1038,1034,,,pt 2si stx,,,↓,Ž,,,,,,+,,,,,,,
94,,RETURN LEG,1038,600,,,pt 2si si,,,↓,Ž,,,,,,+,,,,,,,
95,LATERAL 30/36,VIRŠUS,782,570,,,4s FL. ,,1,↓,Ž,,,,,,,,,,,,,
96,,VIRŠUS,870,570,,,4s,,1,↓,Ž,,,,,,,-,,,,,,
97,,ŠONELIAI,711,544,,,pt pi si,,2,↑,R,,,,,,+,,,,,,,
98,,NUGARA,711,748,,,pi,,1,↑,R,,,,,,+,,,,,,,
99,,NUGARA,711,836,,,pi,,1,↑,R,,,,,,+,,,,,,,
100,,APAČIA,748,525,,,si,,1,↑,R,,Ž,,,,,,,,,,,
,,APAČIA,836,525,,,si ,,1,,,,,,,,,,,,,,,
101,,APAČIA bbf ff,358,525,,,si,,,↑,R,,,,,,,,,,,,,
102,,STALČ. PRIEKIS,772,312,,,4s,,2,↑,R,,,,,,,-,,,,,,
103,,STALČ. PRIEKIS,860,312,,,4s,,2,↑,R,,,,,,,-,,,,,,
104,RBF/FF,ŠONELIAI,711,544,,,pt pi si,,2,↑,R,,,,,,+,,,,,,,
105,,NUGARA,711,358,,,pt,,1,↑,R,,,,,,+,,,,,,,
106,,APAČIA,358,525,,,st,,1,↑,R,,,,,,,,,,,,,
107,,ST. PRIEKIS,380,312,,,2st 2si,,,↑,R,,,,,,,,,,,,,
108,,ST. PRIEKIS,380,151,,,2st 2si,,,↑,R,,,,,,,,,,,,,
109,"BF20
BF24",ŠONELIAI,481,454,,,ip is,,2,↑,R,,,,,,+,,,,,,,
110,,ŠONELIAI,481,544,,,tp ts,,2,↑,R,,,,,,+,,,,,,,
111,STUDY CAROL,TOP,861,600,,,2pt pi si-x fluted ,,1,↓,Ž,,,,,,+,,,,,,,
112,,TOP,1010,600,,,,,1,↓,Ž,,,,,,,,,,,,,
